,Date_Time,Location,Model,Label,Actual,Predict,Score
59,2023-04-09 18:00:00,CAP,OLS,Max_PM10_EWMA,58.0,69.44,26.1
60,2023-04-10 06:00:00,CAP,OLS,Max_PM10_EWMA,43.0,68.75,26.1
61,2023-04-10 18:00:00,CAP,OLS,Max_PM10_EWMA,51.0,58.92,26.1
62,2023-04-11 06:00:00,CAP,OLS,Max_PM10_EWMA,30.0,69.22,26.1
63,2023-03-11 06:00:00,CAP,SVM,Min_PM10_EWMA,47.0,30.58,8.35
64,2023-03-11 18:00:00,CAP,SVM,Min_PM10_EWMA,51.0,34.76,8.35
65,2023-03-12 06:00:00,CAP,SVM,Min_PM10_EWMA,47.0,41.74,8.35
66,2023-03-12 18:00:00,CAP,SVM,Min_PM10_EWMA,29.0,38.06,8.35
67,2023-03-13 06:00:00,CAP,SVM,Min_PM10_EWMA,26.0,43.2,8.35
68,2023-03-13 18:00:00,CAP,SVM,Min_PM10_EWMA,29.0,20.13,8.35
69,2023-03-14 06:00:00,CAP,SVM,Min_PM10_EWMA,42.0,28.11,8.35
70,2023-03-14 18:00:00,CAP,SVM,Min_PM10_EWMA,21.0,20.95,8.35
71,2023-03-15 06:00:00,CAP,SVM,Min_PM10_EWMA,17.0,24.8,8.35
72,2023-03-15 18:00:00,CAP,SVM,Min_PM10_EWMA,22.0,17.27,8.35
73,2023-03-16 06:00:00,CAP,SVM,Min_PM10_EWMA,22.0,22.23,8.35
74,2023-03-16 18:00:00,CAP,SVM,Min_PM10_EWMA,26.0,25.54,8.35
75,2023-03-17 06:00:00,CAP,SVM,Min_PM10_EWMA,31.0,25.74,8.35
76,2023-03-17 18:00:00,CAP,SVM,Min_PM10_EWMA,34.0,23.04,8.35
77,2023-03-18 06:00:00,CAP,SVM,Min_PM10_EWMA,32.0,25.49,8.35
78,2023-03-18 18:00:00,CAP,SVM,Min_PM10_EWMA,21.0,19.96,8.35
79,2023-03-19 06:00:00,CAP,SVM,Min_PM10_EWMA,17.0,20.49,8.35
80,2023-03-19 18:00:00,CAP,SVM,Min_PM10_EWMA,6.0,15.19,8.35
81,2023-03-20 06:00:00,CAP,SVM,Min_PM10_EWMA,8.0,21.67,8.35
82,2023-03-20 18:00:00,CAP,SVM,Min_PM10_EWMA,28.0,20.27,8.35
83,2023-03-21 06:00:00,CAP,SVM,Min_PM10_EWMA,60.0,23.3,8.35
84,2023-03-21 18:00:00,CAP,SVM,Min_PM10_EWMA,14.0,34.96,8.35
85,2023-03-22 06:00:00,CAP,SVM,Min_PM10_EWMA,37.0,62.57,8.35
86,2023-03-22 18:00:00,CAP,SVM,Min_PM10_EWMA,40.0,24.95,8.35
87,2023-03-23 06:00:00,CAP,SVM,Min_PM10_EWMA,38.0,35.33,8.35
88,2023-03-23 18:00:00,CAP,SVM,Min_PM10_EWMA,42.0,41.86,8.35
89,2023-03-24 06:00:00,CAP,SVM,Min_PM10_EWMA,44.0,37.61,8.35
90,2023-03-24 18:00:00,CAP,SVM,Min_PM10_EWMA,44.0,43.94,8.35
91,2023-03-25 06:00:00,CAP,SVM,Min_PM10_EWMA,44.0,44.71,8.35
92,2023-03-25 18:00:00,CAP,SVM,Min_PM10_EWMA,41.0,43.27,8.35
93,2023-03-26 06:00:00,CAP,SVM,Min_PM10_EWMA,39.0,39.2,8.35
94,2023-03-26 18:00:00,CAP,SVM,Min_PM10_EWMA,37.0,37.8,8.35
95,2023-03-27 06:00:00,CAP,SVM,Min_PM10_EWMA,38.0,29.73,8.35
96,2023-03-27 18:00:00,CAP,SVM,Min_PM10_EWMA,37.0,37.29,8.35
